"","year","poly_year","poly_year2","poly_year3","poly_year4","sale_year","poly_saleyear1","poly_saleyear2","poly_saleyear3","poly_saleyear4","height","poly_height1","poly_height2","poly_height3","poly_height4","width","poly_width1","poly_width2","poly_width3","poly_width4"
"1",1950,0.0310246409868601,0.0130053448948697,-0.0076320491621058,-0.016530586686503,2006,0.0165708279029156,-0.0300034183561445,-0.0324668266012366,0.0114532929184964,17.78,-0.020574879001843,0.0310019620383462,-0.0367347695801221,0.0306100505307316,12.7,-0.0235589721083398,0.0309582939846078,-0.045312005757956,0.0487918173054878
"2",1950,0.0310246409868601,0.0130053448948685,-0.00763204916210502,-0.0165305866864976,2012,0.0440652642252086,0.0278795651781437,-0.00219628281656015,-0.0314751538283028,17.7,-0.0206404663346787,0.0311145956402674,-0.0369760418864089,0.0309516546500524,14.5,-0.0218678054817377,0.0283897338667333,-0.0395598369301196,0.039198126736198
"3",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210962,-0.0165305866865088,1995,-0.0338356386879548,-0.00103977301581153,0.0342902988999931,-0.0377652980643143,10.16,-0.0268220724544878,0.0418361296570978,-0.061695445227782,0.0694878128470491,10.16,-0.0259453961258803,0.0346109013463432,-0.0537883516723612,0.0637477063204744
"4",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210691,-0.0165305866865008,1999,-0.0155060144730928,-0.0317982566562682,0.0322467187885247,0.0156822104874003,12.7,-0.0247396746369394,0.0382009760591673,-0.0529287161232395,0.0550645305395247,17.78,-0.0187861240732612,0.0237516955449114,-0.029616995287188,0.0237696373717518
"5",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.016530586686503,1995,-0.0338356386879548,-0.00103977301581153,0.0342902988999934,-0.0377652980643215,10.16,-0.0268220724544878,0.0418361296570976,-0.0616954452277894,0.0694878128477687,15.24,-0.0211725480908009,0.0273385587174636,-0.0372560090916952,0.0354890560102091
"6",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2009,0.0303180460640622,-0.00756322090118594,-0.0372474397325258,-0.0313720826731357,18.42,-0.0200501803391532,0.0301017418985986,-0.0348203519944821,0.0279257048320081,12.07,-0.0241508804276516,0.0318611901351033,-0.0473750758529815,0.0523444628198427
"7",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,1993,-0.0430004507953858,0.0230078612206645,0.00841119315406305,-0.0353702301414967,25.4,-0.0143276855491973,0.0203816739447117,-0.0157480442751833,0.00399529760492916,35.56,-0.00208115595048336,-0.000435928014381788,0.0124633576688113,-0.0196530941121078
"8",1928,-0.0372690453034751,-0.0156116632759029,0.0369970256830096,-0.0065731957713562,1997,-0.0246708265805238,-0.0193084789747891,0.0404536271392637,-0.0137023844459018,27.94,-0.0122452877316489,0.0168891066968598,-0.009621698468048,-0.00243179890458131,33.02,-0.00446757996802305,0.00292083049602743,0.00764896507872751,-0.0171197122598426
"9",1963,0.0713800010675127,0.148747907025937,0.342086314126928,0.456655500388528,2006,0.0165708279029157,-0.0300034183561442,-0.0324668266012367,0.0114532929184889,12.7,-0.0247396746369394,0.0382009760591673,-0.0529287161232395,0.0550645305394862,7.62,-0.02833182014342,0.038296380802671,-0.0626884132211503,0.0804271821641001
"10",1951,0.0341288994546026,0.0203130361748852,0.00351397008605686,-0.0122924508299756,1999,-0.0155060144730928,-0.0317982566562682,0.0322467187885246,0.0156822104874005,22.86,-0.0164100833667457,0.0238980055842433,-0.0223070231893414,0.0116049647535246,15.24,-0.0211725480908009,0.0273385587174636,-0.0372560090916952,0.0354890560102091
"11",1948,0.0248161240513751,-4.3015530899103e-05,-0.0239496085500872,-0.0176515096433511,1993,-0.0430004507953858,0.0230078612206645,0.00841119315406305,-0.0353702301414967,12.7,-0.0247396746369394,0.0382009760591673,-0.0529287161232395,0.0550645305394862,10.16,-0.0259453961258803,0.0346109013463433,-0.0537883516723242,0.0637477063202753
"12",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2006,0.0165708279029157,-0.0300034183561442,-0.0324668266012367,0.0114532929184889,17.78,-0.0205748790018425,0.0310019620383458,-0.0367347695801339,0.0306100505306998,12.7,-0.0235589721083406,0.0309582939846075,-0.0453120057579565,0.0487918173055022
"13",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2006,0.0165708279029157,-0.0300034183561442,-0.0324668266012367,0.0114532929184889,12.7,-0.0247396746369394,0.0382009760591673,-0.0529287161232395,0.0550645305394862,17.78,-0.0187861240732612,0.0237516955449114,-0.0296169952871881,0.0237696373717527
"14",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2000,-0.0109236084193773,-0.0358760473929458,0.024424907428355,0.0275852322059742,30.48,-0.0101628899141004,0.0134203038406877,-0.00392501345758373,-0.00773521054229135,22.86,-0.0140132760381818,0.0166765854835827,-0.0155764507180288,0.00480505804945663
"15",1928,-0.0372690453034751,-0.0156116632759029,0.0369970256830096,-0.0065731957713562,1995,-0.0338356386879548,-0.00103977301581153,0.0342902988999934,-0.0377652980643216,43.18,0.000249099173641669,-0.00356724456497682,0.0182175305069857,-0.0194230465991785,30.48,-0.00685400398556275,0.0063104611010285,0.00244115433135366,-0.0134726098751396
"16",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2009,0.0303180460640622,-0.00756322090118594,-0.0372474397325258,-0.0313720826731357,48.2,0.00436470430911139,-0.0101181765571293,0.0241101586915719,-0.0182679867917065,48.2,0.00979459191632836,-0.0166516072520407,0.0306877370963014,-0.0179022914474955
"17",1950,0.0310246409868601,0.0130053448948692,-0.00763204916210698,-0.0165305866865029,2009,0.0303180460640622,-0.00756322090118594,-0.0372474397325258,-0.0313720826731357,23.49,-0.0158935831206609,0.0230236284164349,-0.0206396823575839,0.00960402023814597,20.32,-0.0163997000557215,0.0201977044669512,-0.0223915979580833,0.0135644503744286
