"","year","poly_year","poly_year2","poly_year3","poly_year4","sale_year","poly_saleyear1","poly_saleyear2","poly_saleyear3","poly_saleyear4","height","poly_height1","poly_height2","poly_height3","poly_height4","width","poly_width1","poly_width2","poly_width3","poly_width4"
"1",1986,0.0321138507648825,-0.0437760599620154,-0.0703266836353466,0.0282664223616152,2014,0.0463945437426044,0.0415938431438972,0.033051665338191,0.020440803439453,19.5,-0.0723373843909358,0.0812793293176272,-0.0771063777342764,0.0542101641879949,15.5,-0.0723373843909358,0.0812793293176272,-0.0771063777342764,0.0542101641879949
"2",2008,0.107810784710677,0.0829015410826913,0.0459350559088243,-0.00834546209421656,2014,0.0463945437426043,0.0415938431438952,0.0330516653381994,0.0204408034394673,20,-0.0715882788833281,0.0797627301137799,-0.0742707381633319,0.0505356490224047,40,-0.0715882788833281,0.0797627301137799,-0.0742707381633319,0.0505356490224047
"3",1950,-0.0917538593282354,0.124881885621265,-0.0796596142634125,0.0371468477901978,2000,-0.0472628380533974,-0.0650073707329448,0.0157695325908322,0.0696676625407044,12.7,-0.0825252192944073,0.102798445191922,-0.119981651459594,0.114169591281989,10.16,-0.0825252192944073,0.102798445191922,-0.119981651459594,0.114169591281989
"4",2001,0.0837253966370148,0.023689572188668,-0.0603019926082243,-0.112069102753533,2015,0.053084356728033,0.0591500030085928,0.0664791677600905,0.071345096505579,44.5,-0.034882109010528,0.0164724776055937,0.0169358271805422,-0.0346603104533868,44.5,-0.034882109010528,0.0164724776055937,0.0169358271805422,-0.0346603104533868
"5",1964,-0.0435830831809118,0.0038366701136949,0.0494985616836184,-0.067346103338702,1983,-0.160989658805685,0.154836430362514,-0.0242895962043563,-0.119088751308943,121.92,0.0811093877875202,-0.0415174529783463,-0.0838310660964024,0.0560259443725221,109.22,0.0811093877875202,-0.0415174529783463,-0.0838310660964024,0.0560259443725221
"6",1950,-0.0917538593282354,0.124881885621265,-0.0796596142634131,0.0371468477901995,2002,-0.03388321208254,-0.0656854858052729,-0.0119921212410997,0.0556482794674663,17.78,-0.0749143073371083,0.0865651499868942,-0.0871871299062506,0.0675885477024697,17.78,-0.0749143073371083,0.0865651499868942,-0.0871871299062506,0.0675885477024697
"7",1978,0.00458769296641177,-0.0466281633699049,-0.0163304146343979,0.0582501768294028,2004,-0.0205035861116826,-0.0610613142403086,-0.0351329248501229,0.029377969498264,30.48,-0.0558870274438609,0.0500457226412694,-0.024255831605451,-0.00641491504558871,30.48,-0.0558870274438609,0.0500457226412694,-0.024255831605451,-0.00641491504558871
"8",1969,-0.0263792345568677,-0.0222888244750363,0.0387686376834784,-0.00943338297112838,2000,-0.0472628380533974,-0.065007370732945,0.0157695325908411,0.0696676625407188,50.8,-0.0254433796146651,0.00368996201290654,0.0269636877588095,-0.0345361834429012,50.8,-0.0254433796146651,0.00368996201290654,0.0269636877588095,-0.0345361834429012
"9",1964,-0.0435830831809118,0.0038366701136949,0.0494985616836184,-0.067346103338702,2015,0.053084356728033,0.0591500030085928,0.0664791677600906,0.0713450965055744,19.5,-0.0723373843909363,0.0812793293176267,-0.0771063777342742,0.0542101641879932,19.5,-0.0723373843909363,0.0812793293176267,-0.0771063777342742,0.0542101641879932
"10",1978,0.00458769296641177,-0.0466281633699049,-0.0163304146343979,0.0582501768294028,2004,-0.0205035861116826,-0.0610613142403086,-0.0351329248501229,0.029377969498264,30.48,-0.0558870274438609,0.0500457226412694,-0.024255831605451,-0.00641491504558871,30.48,-0.0558870274438609,0.0500457226412694,-0.024255831605451,-0.00641491504558871
