"","year","poly_year","poly_year2","poly_year3","poly_year4","sale_year","poly_saleyear1","poly_saleyear2","poly_saleyear3","poly_saleyear4","height","poly_height1","poly_height2","poly_height3","poly_height4","width","poly_width1","poly_width2","poly_width3","poly_width4"
"1",1950,-0.0943382680585562,0.0588710014811452,-0.0229881517430147,-0.00425945118184363,2014,0.0927317603941062,0.104544387770418,0.100546087452733,0.0814958317562158,27.94,-0.102278868727247,0.115927340740331,-0.115788702907054,0.107091204683217,33.02,-0.0792657104068593,0.0796812804486749,-0.0352626648121386,-0.0192462765989418
"2",1978,0.110675623878623,0.0525360614914406,-0.0535135589543229,-0.101311733958726,2014,0.092731760394106,0.104544387770418,0.100546087452737,0.0814958317562182,76,-0.0306282859331777,-0.0225084096472431,0.0539085183911464,-0.0559687180016108,56,-0.0472465578559279,0.00810700709087659,0.0386215644427379,-0.0507351270787592
"3",1977,0.103353699166581,0.0304999655251509,-0.0791201345316333,-0.100488327879905,2014,0.0927317603941061,0.104544387770419,0.100546087452736,0.0814958317562114,76,-0.0306282859331777,-0.0225084096472431,0.0539085183911469,-0.055968718001615,55.5,-0.0479432321934155,0.00946259992272009,0.0377054035090689,-0.0510698538385992
"4",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430153,-0.00425945118184467,2013,0.0841906771999122,0.0738836040574998,0.0497500506513659,0.00832013326307519,74,-0.0336099997406712,-0.0184308495769692,0.0517252098516236,-0.0592612668523957,54.5,-0.0493365808683908,0.0122007060251324,0.0357883714367115,-0.0516341180768908
"5",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184506,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562162,75,-0.0321191428369245,-0.0204879035482984,0.0528609244979671,-0.0576763190381725,55,-0.0486399065309032,0.0108271662341387,0.0367610645042217,-0.0513697429140594
"6",1982,0.139963322726792,0.157171070410723,0.135821317846566,0.0664467386852752,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562164,77,-0.029137429029431,-0.0244923678738031,0.0548691260753067,-0.0541438375638825,57.5,-0.045156534843465,0.00409406947279776,0.041202738731552,-0.0495286237978934
"7",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2013,0.0841906771999122,0.0738836040574998,0.0497500506513659,0.00832013326307636,74,-0.0336099997406712,-0.0184308495769692,0.0517252098516238,-0.0592612668523959,54.5,-0.0493365808683908,0.0122007060251324,0.0357883714367115,-0.0516341180768883
"8",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562164,76,-0.0306282859331777,-0.0225084096472431,0.0539085183911463,-0.0559687180016125,55.5,-0.0479432321934155,0.00946259992272012,0.0377054035090681,-0.0510698538385994
"9",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562164,75,-0.0321191428369245,-0.0204879035482984,0.0528609244979671,-0.0576763190381724,56,-0.0472465578559279,0.00810700709087675,0.0386215644427374,-0.0507351270787578
"10",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2013,0.0841906771999122,0.0738836040574998,0.0497500506513659,0.00832013326307636,74.5,-0.0328645712887978,-0.0194639450466819,0.0523041531779501,-0.0584844628690311,54.5,-0.0493365808683908,0.0122007060251324,0.0357883714367115,-0.0516341180768883
"11",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562164,75.5,-0.0313737143850511,-0.0215027250818188,0.0533956656296931,-0.0568375128645824,56,-0.0472465578559279,0.00810700709087675,0.0386215644427374,-0.0507351270787578
"12",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2014,0.0927317603941061,0.104544387770419,0.100546087452734,0.0814958317562164,76,-0.0306282859331777,-0.0225084096472431,0.0539085183911463,-0.0559687180016125,56,-0.0472465578559279,0.00810700709087675,0.0386215644427374,-0.0507351270787578
"13",1977,0.103353699166581,0.0304999655251509,-0.0791201345316334,-0.1004883278799,2012,0.0756495940057182,0.0455031590540623,0.00831982183703267,-0.0387085667138386,67,-0.0440459980668985,-0.00300813135089578,0.0412125245304006,-0.0664572696070841,50,-0.0556066499057794,0.0249663707249597,0.0257291624139154,-0.0523018379542038
"14",1950,-0.0943382680585564,0.0588710014811453,-0.0229881517430152,-0.00425945118184494,2008,0.0414852612289422,-0.045215233864873,-0.0773896371311217,-0.0496717108078894,27.94,-0.102278868727247,0.115927340740331,-0.115788702907054,0.107091204683216,38.1,-0.0721874991379849,0.0622269903678459,-0.0129648301649699,-0.0360442854707973
"15",1961,-0.013797096226093,-0.0978050691994251,0.0939675461102319,0.00764342785535739,1995,-0.0695488202955796,-0.0880725834537117,0.0757956415018279,0.0888665276114144,27.94,-0.102278868727247,0.115927340740331,-0.115788702907054,0.107091204683216,38.1,-0.0721874991379849,0.0622269903678459,-0.0129648301649699,-0.0360442854707973
"16",1961,-0.013797096226093,-0.0978050691994251,0.0939675461102319,0.00764342785535739,1997,-0.0524666539071916,-0.106562870859725,0.0467781463063133,0.127473674152766,71.12,-0.0379036676234619,-0.0123023338669538,0.0479516920799949,-0.0630909651507759,50.8,-0.0544919709657992,0.0226437962236831,0.0276920597145877,-0.0524198691549732
"17",1972,0.0667440756063705,-0.0549445767251154,-0.108258833622304,0.00508426138657046,1997,-0.0524666539071916,-0.106562870859725,0.0467781463063133,0.127473674152766,71.12,-0.0379036676234619,-0.0123023338669538,0.0479516920799949,-0.0630909651507759,50.8,-0.0544919709657992,0.0226437962236831,0.0276920597145877,-0.0524198691549732
