"","year","poly_year","poly_year2","poly_year3","poly_year4","sale_year","poly_saleyear1","poly_saleyear2","poly_saleyear3","poly_saleyear4","height","poly_height1","poly_height2","poly_height3","poly_height4","width","poly_width1","poly_width2","poly_width3","poly_width4"
"1",1945,-0.0448794696214429,0.030542305325941,-0.00363847826095731,-0.0288817359449362,1986,-0.0696794193476171,0.024020560309462,0.037049324998075,-0.0607713692174044,22.86,-0.0523549309725681,0.0393912513022873,-0.037685263401421,0.014497183113802,15.24,-0.0630390482028634,0.0563181305183632,-0.0421143868958004,0.00515312158011375
"2",1942,-0.0553460597098356,0.0552189969671687,-0.0355635203426467,-0.00804443929805354,1986,-0.0696794193476174,0.0240205603094636,0.0370493249980772,-0.0607713692174079,20.32,-0.0570678910659176,0.0479304730758805,-0.0546442972708618,0.0399559417671137,20.32,-0.0542863888843243,0.0371854744481546,-0.0137956578576872,-0.0197000602926682
"3",1946,-0.041390606258645,0.0230483452229979,0.00459445244399301,-0.0314406741457304,1986,-0.0696794193476174,0.0240205603094631,0.037049324998076,-0.0607713692174083,25.4,-0.0476419708792187,0.0312989941965522,-0.0225179651569667,-0.00555017402460325,17.78,-0.0586627185435938,0.0464894135647888,-0.0270619863659579,-0.00906767383182173
"4",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579737,-0.0258578015627285,1977,-0.114176364438982,0.188133917641676,-0.224862468897531,0.207333447128632,30.48,-0.0382160506925199,0.0164553739886545,0.00269234142198803,-0.0314950328542296,22.86,-0.0499100592250549,0.0284063131684607,-0.00223815938651897,-0.0271312170115057
"5",1997,0.136541425244036,0.125909684432669,0.00322792754597052,-0.135391714523902,2012,0.0588673109163261,0.0443573990225897,0.0177198245255151,-0.0188926600045791,40,-0.0205517278229584,-0.00654714464302381,0.0330573155090793,-0.0410467044232641,60,0.0140808398085155,-0.0400264646472796,0.020465438981363,0.0298089665680276
"6",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1983,-0.0845117343780724,0.0689448394808842,-0.00891428300724437,-0.0640008271571147,33.02,-0.0335030905991705,0.00970401088649202,0.0128608082389994,-0.0383873946459179,25.4,-0.0455337295657854,0.0201519297257064,0.0076877510320147,-0.0317321853172294
"7",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1982,-0.089455839388224,0.0860929710430579,-0.0324263776985823,-0.0504074390759798,38.1,-0.0240771704124717,-0.00245782131426017,0.0286380151343601,-0.0423571898891846,22.86,-0.0499100592250549,0.0284063131684607,-0.00223815938651891,-0.0271312170115044
"8",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1979,-0.104288154418679,0.144057481244679,-0.131717893085453,0.0583594959839658,55.88,0.00891355024097408,-0.0309448469793796,0.0425676788438677,0.00351754979185559,35.56,-0.0280284109287074,-0.00761782567591247,0.0326203518691697,-0.028690175180685
"9",1941,-0.0588349230726333,0.0641761646250439,-0.0487751679803539,0.00412330524444602,2004,0.0193144708351127,-0.0401414759934168,-0.0471353539615752,0.00315710995786848,40.64,-0.0193642103191223,-0.00786829041284992,0.034372213695218,-0.0403159287652153,25.4,-0.0455337295657854,0.0201519297257064,0.0076877510320147,-0.0317321853172294
"10",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1988,-0.059791209327314,-0.000495529542234136,0.0502020397378304,-0.0363897628237413,33.02,-0.0335030905991705,0.00970401088649202,0.0128608082389994,-0.0383873946459179,27.94,-0.0411573999065159,0.0124223241198919,0.0160593153823821,-0.0338578686585628
"11",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1995,-0.0251824742562523,-0.0520712375689009,0.0236944877625472,0.0557508265848007,25.4,-0.0476419708792187,0.031298994196552,-0.0225179651569676,-0.00555017402459785,17.78,-0.0586627185435938,0.0464894135647889,-0.027061986365958,-0.00906767383182329
"12",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1984,-0.0795676293679207,0.0528833938378939,0.0103031963753036,-0.0692167864110912,55.88,0.00891355024097408,-0.0309448469793796,0.0425676788438677,0.00351754979185559,76.2,0.0419928636196044,-0.034732393372012,-0.0174748755693969,0.0420852978200802
"13",1940,-0.062323786435431,0.0734991341716517,-0.0633524075673973,0.0193431860151057,2004,0.0193144708351127,-0.0401414759934168,-0.0471353539615752,0.00315710995786848,40.64,-0.0193642103191223,-0.00786829041284992,0.034372213695218,-0.0403159287652153,25.4,-0.0455337295657854,0.0201519297257064,0.0076877510320147,-0.0317321853172294
"14",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1997,-0.015294264235949,-0.0570269808752987,0.0052534806838754,0.0628858099879044,30.48,-0.0382160506925199,0.0164553739886545,0.00269234142198805,-0.0314950328542285,25.4,-0.0455337295657854,0.0201519297257064,0.0076877510320147,-0.0317321853172294
"15",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1977,-0.114176364438982,0.188133917641676,-0.224862468897531,0.207333447128631,22.86,-0.0523549309725681,0.0393912513022872,-0.0376852634014204,0.014497183113801,30.48,-0.0367810702472464,0.00521749635101725,0.0229537756490515,-0.0338470326040424
"16",1950,-0.0274351528074543,-0.00326947630144749,0.0267721609579736,-0.025857801562737,1986,-0.0696794193476174,0.0240205603094633,0.0370493249980765,-0.0607713692174054,45.72,-0.00993829013242353,-0.0173483346064567,0.04184544724956,-0.0302424092422006,58.42,0.011358556004718,-0.0394002718685737,0.0233951766162818,0.0265495095816737
"17",1941,-0.0588349230726333,0.0641761646250439,-0.0487751679803539,0.00412330524444602,2004,0.0193144708351127,-0.0401414759934168,-0.0471353539615752,0.00315710995786848,27.94,-0.0429290107858693,0.0236537017586745,-0.00907967329624952,-0.0207119483673091,20.32,-0.0542863888843243,0.0371854744481548,-0.013795657857687,-0.0197000602926691
